,Brand Name,Smartphone Name,Color,RAM,Storage(ROM),Primary Camera,Secondary Camera,Display size,Battery capacity,Price,Product URL
14,Motorola,g64 5G ,Ice Lilac,12 GB RAM , 256 GB ROM ,50MP (OIS) + 8MP , 16MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,6000 mAh Battery,"₹15,999",https://www.flipkart.com/motorola-g64-5g-ice-lilac-256-gb/p/itm1df450f035292?pid=MOBGY2JUGGJZJQNK&lid=LSTMOBGY2JUGGJZJQNKKF5P9H&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=306d1818-dae2-44f8-ad0a-5c113c6d9f99.MOBGY2JUGGJZJQNK.SEARCH&ppt=hp&ppn=homepage&ssid=h34b21elkw0000001721158226971&qH=1036ba3c4ed2c021
15,POCO,C65 ,Pastel Green,4 GB RAM , 128 GB ROM ,50MP + AI Lens + 2MP , 8MP Front Camera,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,"₹6,999",https://www.flipkart.com/poco-c65-pastel-green-128-gb/p/itm534cf85baf789?pid=MOBGXTV9GCTRG3NV&lid=LSTMOBGXTV9GCTRG3NVGJTTCT&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=306d1818-dae2-44f8-ad0a-5c113c6d9f99.MOBGXTV9GCTRG3NV.SEARCH&ppt=hp&ppn=homepage&ssid=h34b21elkw0000001721158226971&qH=1036ba3c4ed2c021
16,Motorola,Edge 50 Fusion ,Marshmallow Blue,12 GB RAM , 256 GB ROM,50MP + 13MP , 32MP Front Camera,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,"₹24,999",https://www.flipkart.com/motorola-edge-50-fusion-marshmallow-blue-256-gb/p/itmd2b59acc725cf?pid=MOBGXTYZBAS4VM8K&lid=LSTMOBGXTYZBAS4VM8KX6T7CM&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=306d1818-dae2-44f8-ad0a-5c113c6d9f99.MOBGXTYZBAS4VM8K.SEARCH&ppt=hp&ppn=homepage&ssid=h34b21elkw0000001721158226971&qH=1036ba3c4ed2c021
17,POCO,C65 ,Pastel Blue,4 GB RAM , 128 GB ROM ,50MP + AI Lens + 2MP , 8MP Front Camera,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,"₹6,999",https://www.flipkart.com/poco-c65-pastel-blue-128-gb/p/itm1586ff4fb1c2b?pid=MOBGVVTXZESSZY4W&lid=LSTMOBGVVTXZESSZY4WVAOO2Y&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=306d1818-dae2-44f8-ad0a-5c113c6d9f99.MOBGVVTXZESSZY4W.SEARCH&ppt=hp&ppn=homepage&ssid=h34b21elkw0000001721158226971&qH=1036ba3c4ed2c021
18,POCO,C65 ,Pastel Blue,6 GB RAM , 128 GB ROM ,50MP + AI Lens + 2MP , 8MP Front Camera,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,"₹7,499",https://www.flipkart.com/poco-c65-pastel-blue-128-gb/p/itm496cf027e5826?pid=MOBGVVTXTQDGZ7JY&lid=LSTMOBGVVTXTQDGZ7JYJ1XDW1&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=306d1818-dae2-44f8-ad0a-5c113c6d9f99.MOBGVVTXTQDGZ7JY.SEARCH&ppt=hp&ppn=homepage&ssid=h34b21elkw0000001721158226971&qH=1036ba3c4ed2c021
19,Motorola,Edge 50 Fusion ,Hot Pink,12 GB RAM , 256 GB ROM,50MP + 13MP , 32MP Front Camera,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,"₹24,999",https://www.flipkart.com/motorola-edge-50-fusion-hot-pink-256-gb/p/itm754e69c2fc5dd?pid=MOBGXTYZZBUPYFEC&lid=LSTMOBGXTYZZBUPYFECU3ECBQ&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=306d1818-dae2-44f8-ad0a-5c113c6d9f99.MOBGXTYZZBUPYFEC.SEARCH&ppt=hp&ppn=homepage&ssid=h34b21elkw0000001721158226971&qH=1036ba3c4ed2c021
20,REDMI,13C ,Starfrost White,4 GB RAM , 128 GB ROM ,50MP Rear Camera , 8MP Front Camera,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,"₹7,699",https://www.flipkart.com/redmi-13c-starfrost-white-128-gb/p/itm8e332b8346bef?pid=MOBGWUHSZKWBZQWJ&lid=LSTMOBGWUHSZKWBZQWJALOQ27&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=306d1818-dae2-44f8-ad0a-5c113c6d9f99.MOBGWUHSZKWBZQWJ.SEARCH&ppt=hp&ppn=homepage&ssid=h34b21elkw0000001721158226971&qH=1036ba3c4ed2c021
21,Motorola,g64 5G ,Pearl Blue,12 GB RAM , 256 GB ROM ,50MP (OIS) + 8MP , 16MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,6000 mAh Battery,"₹15,999",https://www.flipkart.com/motorola-g64-5g-pearl-blue-256-gb/p/itm1e0225e79669e?pid=MOBGY2JUZFHY6ZZP&lid=LSTMOBGY2JUZFHY6ZZPJ3GDTC&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=306d1818-dae2-44f8-ad0a-5c113c6d9f99.MOBGY2JUZFHY6ZZP.SEARCH&ppt=hp&ppn=homepage&ssid=h34b21elkw0000001721158226971&qH=1036ba3c4ed2c021
22,POCO,M6 Pro 5G ,Forest Green,6 GB RAM , 128 GB ROM ,50MP + 2MP , 8MP Front Camera,17.25 cm (6.79 inch) Full HD+ Display,5000 mAh Battery,"₹9,999",https://www.flipkart.com/poco-m6-pro-5g-forest-green-128-gb/p/itm151f47ed48eee?pid=MOBGRNZ3FZBVRYHQ&lid=LSTMOBGRNZ3FZBVRYHQLWWUJH&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=306d1818-dae2-44f8-ad0a-5c113c6d9f99.MOBGRNZ3FZBVRYHQ.SEARCH&ppt=hp&ppn=homepage&ssid=h34b21elkw0000001721158226971&qH=1036ba3c4ed2c021
23,POCO,C65 ,Matte Black,6 GB RAM , 128 GB ROM ,50MP + AI Lens + 2MP , 8MP Front Camera,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,"₹7,499",https://www.flipkart.com/poco-c65-matte-black-128-gb/p/itme8d1e736a1e3f?pid=MOBGVVTXBXRRZEUK&lid=LSTMOBGVVTXBXRRZEUKZU2IO7&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=306d1818-dae2-44f8-ad0a-5c113c6d9f99.MOBGVVTXBXRRZEUK.SEARCH&ppt=hp&ppn=homepage&ssid=h34b21elkw0000001721158226971&qH=1036ba3c4ed2c021
